Sub-Category,Total_Sales,Order ID,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Product Name,Total_Discount,Dates,Total_profit
Phones,10.9,CA-2016-133340,12/13/2016,Standard Class,LH-17155,Logan Haushalter,Consumer,United States,Jackson,Michigan,Central,TEC-PH-10003988,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",0,12-9-2016,13.952
Phones,10.95,CA-2015-112452,4/4/2015,Same Day,NC-18340,Nat Carroll,Consumer,United States,Lansing,Michigan,Central,TEC-PH-10000307,Technology,Shocksock Galaxy S4 Armband,0,4-4-2015,11.388
Phones,100.49,CA-2015-121608,5/9/2015,First Class,JB-15400,Jennifer Braxton,Corporate,United States,Bristol,Connecticut,East,TEC-PH-10004959,Technology,Classic Ivory Antique Telephone ZL1810,0,9-3-2015,125.6125
Phones,100.792,CA-2014-103849,5/16/2014,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Fort Worth,Texas,Central,TEC-PH-10002597,Technology,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,20.1584,5-11-2014,107.0915
Phones,100.792,CA-2015-113628,11/19/2015,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Plantation,Florida,South,TEC-PH-10000441,Technology,VTech DS6151,20.1584,11-12-2015,110.8712
Phones,1000.728,CA-2016-156265,4/8/2016,Second Class,BF-11020,Barry Französisch,Corporate,United States,Los Angeles,California,West,TEC-PH-10001918,Technology,Nortel Business Series Terminal T7208 Digital phone,66.7152,8-2-2016,1034.0856
Phones,1000.728,CA-2017-135937,2/27/2017,Standard Class,KM-16375,Katherine Murray,Home Office,United States,Gilbert,Arizona,West,TEC-PH-10004447,Technology,Toshiba IPT2010-SD IP Telephone,66.7152,20-2-2017,1025.7462
Phones,1000.728,US-2014-126340,11/14/2014,Standard Class,EB-13870,Emily Burns,Consumer,United States,Redding,California,West,TEC-PH-10004447,Technology,Toshiba IPT2010-SD IP Telephone,66.7152,11-8-2014,1025.7462
Phones,10108.152,US-2017-166688,5/26/2017,Standard Class,RD-19480,Rick Duston,Consumer,United States,Las Vegas,Nevada,West,TEC-PH-10004094,Technology,Motorola L703CM,224.6256,20-5-2017,10178.3475
Phones,1020.546,CA-2016-127243,4/12/2016,Standard Class,DS-13180,David Smith,Corporate,United States,Philadelphia,Pennsylvania,East,TEC-PH-10004539,Technology,Wireless Extenders zBoost YX545 SOHO Signal Booster,136.0728,28-11-2016,946.8399
Phones,103.192,CA-2017-105487,10/14/2017,Standard Class,CS-12250,Chris Selesnick,Corporate,United States,San Diego,California,West,TEC-PH-10001336,Technology,Digium D40 VoIP phone,20.6384,10-8-2017,114.8011
Phones,1030.5,CA-2017-113705,3/29/2017,Second Class,LC-16870,Lena Cacioppo,Consumer,United States,Richmond,Virginia,South,TEC-PH-10004006,Technology,Panasonic KX - TS880B Telephone,0,27-3-2017,1086.147
Phones,1030.5,CA-2017-163629,11/21/2017,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Athens,Georgia,South,TEC-PH-10004006,Technology,Panasonic KX - TS880B Telephone,0,17-11-2017,1086.147
Phones,10310.4,CA-2015-135622,11/12/2015,Second Class,TT-21460,Tonja Turnell,Home Office,United States,Fort Worth,Texas,Central,TEC-PH-10001817,Technology,Wilson Electronics DB Pro Signal Booster,343.68,12-8-2015,10460.76
Phones,1035.8,CA-2016-128517,4/14/2016,Second Class,SW-20350,Sean Wendt,Home Office,United States,Detroit,Michigan,Central,TEC-PH-10002555,Technology,Nortel Meridian M5316 Digital phone,0,4-9-2016,1170.454
Phones,1039.84,CA-2016-167682,9/4/2016,Standard Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,Richmond,Indiana,Central,TEC-PH-10000673,Technology,Plantronics Voyager Pro HD - Bluetooth Headset,0,4-3-2016,1164.6208
Phones,1043.64,CA-2015-153752,11/12/2015,Second Class,RO-19780,Rose O'Brian,Consumer,United States,Arlington,Virginia,South,TEC-PH-10001615,Technology,AT&T CL82213,0,12-6-2015,1094.0826
Phones,1043.91,US-2017-139465,8/30/2017,First Class,MR-17545,Mathew Reese,Home Office,United States,New York City,New York,East,TEC-PH-10000455,Technology,GE 30522EE2,0,27-8-2017,1144.8213
