Category,Total_Sales,Order ID,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Sub-Category,Product Name,Total_Discount,Dates,Total_profit
Office Supplies,0.444,US-2017-102288,6/23/2017,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,Central,OFF-AP-10002906,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,0.3552,19-6-2017,'-0.666
Office Supplies,0.556,CA-2017-124114,2/3/2017,Same Day,RS-19765,Roland Schwarz,Corporate,United States,Waco,Texas,Central,OFF-BI-10004022,Binders,Acco Suede Grain Vinyl Round Ring Binder,0.4448,3-2-2017,'-0.3892
Office Supplies,0.836,CA-2016-168361,6/25/2016,Standard Class,KB-16600,Ken Brennan,Corporate,United States,Chicago,Illinois,Central,OFF-BI-10003727,Binders,Avery Durable Slant Ring Binders With Label Holder,0.6688,21-6-2016,'-0.5016
Office Supplies,0.852,CA-2014-112403,3/31/2014,Same Day,JO-15280,Jas O'Carroll,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10003529,Binders,Avery Round Ring Poly Binders,0.5964,31-3-2014,0.2556
Office Supplies,0.876,US-2014-152723,9/26/2014,Same Day,HG-14965,Henry Goldwyn,Corporate,United States,Mesquite,Texas,Central,OFF-BI-10003460,Binders,Acco 3-Hole Punch,0.7008,26-9-2014,'-0.5256
Office Supplies,0.898,CA-2014-103492,10/15/2014,Standard Class,CM-12715,Craig Molinari,Corporate,United States,Huntsville,Texas,Central,OFF-BI-10004140,Binders,Avery Non-Stick Binders,0.7184,10-10-2014,'-0.6735
Office Supplies,1.044,CA-2014-129189,7/25/2014,Standard Class,HM-14860,Harry Marie,Corporate,United States,Dallas,Texas,Central,OFF-BI-10000494,Binders,Acco Economy Flexible Poly Round Ring Binder,0.8352,21-7-2014,'-0.783
Office Supplies,1.167,CA-2014-112718,12/21/2014,Standard Class,KN-16450,Kean Nguyen,Corporate,United States,Jacksonville,Florida,South,OFF-BI-10000591,Binders,Avery Binder Labels,0.8169,16-12-2014,0.3112
Office Supplies,1.188,CA-2017-164042,5/27/2017,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Houston,Texas,Central,OFF-BI-10001922,Binders,Storex Dura Pro Binders,0.9504,23-5-2017,'-0.7722
Office Supplies,1.234,CA-2014-165309,11/15/2014,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Houston,Texas,Central,OFF-BI-10001267,Binders,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",0.9872,11-11-2014,'-0.7404
Office Supplies,1.24,CA-2015-102015,9/18/2015,Standard Class,TM-21010,Tamara Manning,Consumer,United States,Auburn,New York,East,OFF-FA-10000490,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",0,9-12-2015,1.8228
Office Supplies,1.344,CA-2014-143168,10/23/2014,Second Class,IG-15085,Ivan Gibson,Consumer,United States,Seattle,Washington,West,OFF-BI-10003784,Binders,Computer Printout Index Tabs,0.2688,18-10-2014,1.8144
Office Supplies,1.344,CA-2014-154158,12/27/2014,Second Class,CC-12670,Craig Carreira,Consumer,United States,Tampa,Florida,South,OFF-AR-10001868,Art,Prang Dustless Chalk Sticks,0.2688,23-12-2014,1.848
Office Supplies,1.344,CA-2016-163153,3/25/2016,Standard Class,DM-12955,Dario Medina,Corporate,United States,Houston,Texas,Central,OFF-AR-10001868,Art,Prang Dustless Chalk Sticks,0.2688,21-3-2016,1.848
Office Supplies,1.362,CA-2015-112214,11/8/2015,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Dallas,Texas,Central,OFF-BI-10002982,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,1.0896,8-5-2015,'-0.8172
Office Supplies,1.365,CA-2014-169257,12/6/2014,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Jacksonville,Florida,South,OFF-BI-10002557,Binders,Presstex Flexible Ring Binders,0.9555,6-6-2014,0.455
Office Supplies,1.408,CA-2016-114748,10/14/2016,Standard Class,MZ-17335,Maria Zettner,Home Office,United States,Phoenix,Arizona,West,OFF-AR-10001315,Art,Newell 310,0.2816,10-9-2016,1.5664
Office Supplies,1.44,CA-2017-129378,2/10/2017,First Class,NS-18505,Neola Schneider,Consumer,United States,San Jose,California,West,OFF-BI-10002012,Binders,Wilson Jones Easy Flow II Sheet Lifters,0.288,10-1-2017,1.944
Office Supplies,1.448,CA-2015-161263,4/21/2015,Standard Class,TS-21160,Theresa Swint,Corporate,United States,Toledo,Ohio,East,OFF-FA-10003059,Fasteners,Assorted Color Push Pins,0.2896,16-4-2015,1.6833
Office Supplies,1.476,US-2015-163433,4/22/2015,Second Class,MP-17965,Michael Paige,Corporate,United States,Mcallen,Texas,Central,OFF-BI-10000320,Binders,GBC Plastic Binding Combs,1.1808,18-4-2015,'-0.8118
Office Supplies,1.504,CA-2016-132409,1/6/2016,Standard Class,TH-21235,Tiffany House,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-AR-10001919,Art,"OIC #2 Pencils, Medium Soft",0.3008,26-5-2016,1.6732
