Region,Total_Sales,Order ID,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Product ID,Category,Sub-Category,Product Name,Total_Discount,Dates,Total_profit
West,0.99,CA-2017-126536,10/14/2017,First Class,NK-18490,Neil Knudson,Home Office,United States,San Francisco,California,TEC-AC-10003709,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack,0,10-12-2017,1.4256
West,1.344,CA-2014-143168,10/23/2014,Second Class,IG-15085,Ivan Gibson,Consumer,United States,Seattle,Washington,OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs,0.2688,18-10-2014,1.8144
West,1.408,CA-2016-114748,10/14/2016,Standard Class,MZ-17335,Maria Zettner,Home Office,United States,Phoenix,Arizona,OFF-AR-10001315,Office Supplies,Art,Newell 310,0.2816,10-9-2016,1.5664
West,1.44,CA-2017-129378,2/10/2017,First Class,NS-18505,Neola Schneider,Consumer,United States,San Jose,California,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,0.288,10-1-2017,1.944
West,1.81,CA-2017-166933,4/28/2017,Standard Class,MG-17890,Michael Granlund,Home Office,United States,Santa Barbara,California,OFF-FA-10002676,Office Supplies,Fasteners,Colored Push Pins,0,24-4-2017,2.4616
West,10.08,US-2015-128090,8/22/2015,Standard Class,JM-15865,John Murray,Consumer,United States,Phoenix,Arizona,OFF-LA-10000452,Office Supplies,Labels,Avery 488,1.008,16-8-2015,11.844
West,10.098,CA-2015-149384,10/7/2015,Same Day,EH-13945,Eric Hoffmann,Consumer,United States,Tempe,Arizona,OFF-BI-10003196,Office Supplies,Binders,Accohide Poly Flexible Ring Binders,2.3562,7-10-2015,7.854
West,10.32,CA-2016-152534,6/25/2016,Second Class,DP-13105,Dave Poirier,Corporate,United States,Salinas,California,OFF-AR-10002335,Office Supplies,Art,DIXON Oriole Pencils,0,20-6-2016,11.6616
West,10.32,CA-2017-101665,1/12/2017,Standard Class,TZ-21580,Tracy Zic,Consumer,United States,San Francisco,California,OFF-AR-10002335,Office Supplies,Art,DIXON Oriole Pencils,0,25-11-2017,11.6616
West,10.428,CA-2014-124079,12/17/2014,Standard Class,RF-19345,Randy Ferguson,Corporate,United States,Phoenix,Arizona,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",3.6498,13-12-2014,6.2568
West,10.428,CA-2016-134936,12/25/2016,Standard Class,ES-14080,Erin Smith,Corporate,United States,Tucson,Arizona,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",3.6498,19-12-2016,6.2568
West,10.44,CA-2014-160066,11/22/2014,Standard Class,AH-10075,Adam Hart,Corporate,United States,Huntington Beach,California,OFF-LA-10001045,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,0,16-11-2014,12.8412
West,10.48,US-2017-133312,11/29/2017,Standard Class,BD-11500,Bradley Drucker,Consumer,United States,San Francisco,California,OFF-ST-10001325,Office Supplies,Storage,Sterilite Officeware Hinged File Box,0,25-11-2017,13.3096
West,10.496,CA-2014-131947,9/22/2014,Standard Class,JA-15970,Joseph Airdo,Consumer,United States,Springfield,Oregon,OFF-AR-10001473,Office Supplies,Art,Newell 313,1.0496,17-9-2014,10.9552
West,10.496,CA-2015-109939,12/5/2015,Standard Class,AA-10375,Allen Armold,Consumer,United States,Salem,Oregon,OFF-AR-10000127,Office Supplies,Art,Newell 321,1.0496,5-8-2015,11.0864
West,10.68,US-2017-149006,8/12/2017,Second Class,BN-11470,Brad Norvell,Corporate,United States,Brentwood,California,OFF-ST-10003221,Office Supplies,Storage,Staple magnet,0,12-6-2017,13.5636
West,10.688,CA-2017-133648,2/7/2017,Standard Class,ML-17755,Max Ludwig,Home Office,United States,Springfield,Oregon,OFF-AR-10002257,Office Supplies,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",1.0688,25-6-2017,11.4228
West,10.744,CA-2015-133837,4/18/2015,Standard Class,TH-21100,Thea Hendricks,Consumer,United States,Glendale,Arizona,OFF-ST-10000344,Office Supplies,Storage,"Neat Ideas Personal Hanging Folder Files, Black",2.1488,13-4-2015,11.5498
West,10.744,CA-2017-159884,5/9/2017,Standard Class,JF-15490,Jeremy Farry,Consumer,United States,Tempe,Arizona,OFF-ST-10000344,Office Supplies,Storage,"Neat Ideas Personal Hanging Folder Files, Black",2.1488,31-8-2017,11.5498
West,10.89,CA-2017-110842,11/16/2017,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Los Angeles,California,OFF-AP-10003971,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,0,11-11-2017,13.7214
West,10.98,CA-2014-166961,12/31/2014,Standard Class,CD-12790,Cynthia Delaney,Home Office,United States,Moreno Valley,California,OFF-AP-10001366,Office Supplies,Appliances,Staple holder,0,27-12-2014,13.9446
West,10.99,CA-2014-158372,11/16/2014,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,San Diego,California,TEC-AC-10004209,Technology,Accessories,Memorex Froggy Flash Drive 4 GB,0,11-10-2014,15.2761
West,100,CA-2015-126347,12/19/2015,Second Class,AJ-10945,Ashley Jarboe,Consumer,United States,Los Angeles,California,TEC-AC-10003063,Technology,Accessories,Micro Innovations USB RF Wireless Keyboard with Mouse,0,14-12-2015,110.5
West,100,CA-2017-108560,7/15/2017,Standard Class,JC-15385,Jenna Caffey,Consumer,United States,Kent,Washington,TEC-AC-10003063,Technology,Accessories,Micro Innovations USB RF Wireless Keyboard with Mouse,0,7-8-2017,110.5
West,100.08,CA-2017-169264,8/16/2017,Second Class,NP-18700,Nora Preis,Consumer,United States,San Francisco,California,OFF-AR-10000246,Office Supplies,Art,Newell 318,0,14-8-2017,104.4168
West,100.107,CA-2015-150714,1/11/2015,Standard Class,KH-16690,Kristen Hastings,Corporate,United States,Springfield,Oregon,OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,10.0107,26-10-2015,89.6196
West,100.89,CA-2015-137708,11/25/2015,Second Class,NG-18430,Nathan Gelder,Consumer,United States,Los Angeles,California,OFF-ST-10004634,Office Supplies,Storage,"Personal Folder Holder, Ebony",0,22-11-2015,110.979
West,1000.728,CA-2016-156265,4/8/2016,Second Class,BF-11020,Barry Französisch,Corporate,United States,Los Angeles,California,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,66.7152,8-2-2016,1034.0856
West,1000.728,CA-2017-135937,2/27/2017,Standard Class,KM-16375,Katherine Murray,Home Office,United States,Gilbert,Arizona,TEC-PH-10004447,Technology,Phones,Toshiba IPT2010-SD IP Telephone,66.7152,20-2-2017,1025.7462
West,1000.728,US-2014-126340,11/14/2014,Standard Class,EB-13870,Emily Burns,Consumer,United States,Redding,California,TEC-PH-10004447,Technology,Phones,Toshiba IPT2010-SD IP Telephone,66.7152,11-8-2014,1025.7462
West,1001.997,CA-2014-157147,1/18/2014,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",50.09985,13-1-2014,1005.9264
